OBJECTID,GlobalID,Address,APN,ServiceConnectionLength_ft,PredMeter,MeterConf,BestMeterImg,MeterPhotoCount,PredLocation,LocationConf,BestLocationImg,LocationPhotoCount,NeedsReview,PriorityScore,ModelVersion
18,100a7b86-d608-4305-a17f-17819f792ddd,,,,destroyed,0.9514213800430298,100a7b86-d608-4305-a17f-17819f792ddd_64_1.jpg,2,ruins,0.8804459571838379,100a7b86-d608-4305-a17f-17819f792ddd_65_1.jpg,2,0,60.0,v1_resnet18_binary_demo
48,bdf6832d-3664-4399-ae59-c144db47cb3a,,,,destroyed,0.8802123069763184,bdf6832d-3664-4399-ae59-c144db47cb3a_183.jpg,2,ruins,0.7350873351097107,bdf6832d-3664-4399-ae59-c144db47cb3a_185.jpg,2,0,60.0,v1_resnet18_binary_demo
20,b50b0223-142f-485a-84b6-2465cd4716b9,,,,destroyed,0.8554338216781616,b50b0223-142f-485a-84b6-2465cd4716b9_71_1.jpg,2,ruins,0.650269091129303,b50b0223-142f-485a-84b6-2465cd4716b9_73_1.jpg,2,0,60.0,v1_resnet18_binary_demo
22,87c1d18f-225f-4b41-979d-dea88d8ec1d1,,,,destroyed,0.8572500348091125,87c1d18f-225f-4b41-979d-dea88d8ec1d1_80.jpg,2,ruins,0.8808540105819702,87c1d18f-225f-4b41-979d-dea88d8ec1d1_81.jpg,2,0,60.0,v1_resnet18_binary_demo
6,63196baa-6b41-4291-af4b-59e008e76aab,,,,destroyed,0.9131097793579102,63196baa-6b41-4291-af4b-59e008e76aab_15_2.jpg,2,ruins,0.918329656124115,63196baa-6b41-4291-af4b-59e008e76aab_18_2.jpg,2,0,60.0,v1_resnet18_binary_demo
92,5ca253de-1056-4480-8723-75ea10f1304d,,,,destroyed,0.7851851582527161,5ca253de-1056-4480-8723-75ea10f1304d_359.jpg,2,ruins,0.7858625650405884,5ca253de-1056-4480-8723-75ea10f1304d_362.jpg,2,0,60.0,v1_resnet18_binary_demo
8,e054bdca-fbb4-4572-94ed-1f1182a60202,,,,destroyed,0.753311276435852,e054bdca-fbb4-4572-94ed-1f1182a60202_23_2.jpg,2,ruins,0.9079717993736268,e054bdca-fbb4-4572-94ed-1f1182a60202_26_2.jpg,2,0,60.0,v1_resnet18_binary_demo
619,e04971ca-6853-49bf-b77e-80ea7e8105a5,,,,destroyed,0.8390143513679504,e04971ca-6853-49bf-b77e-80ea7e8105a5_2467.jpg,2,cleared,0.5755004286766052,e04971ca-6853-49bf-b77e-80ea7e8105a5_2470.jpg,2,1,57.0,v1_resnet18_binary_demo
1071,e68909d7-9e36-448b-a3a8-e34f68f517cc,,,,damaged,0.8566116690635681,e68909d7-9e36-448b-a3a8-e34f68f517cc_4276.jpg,2,ruins,0.6142262816429138,e68909d7-9e36-448b-a3a8-e34f68f517cc_4278.jpg,2,1,52.0,v1_resnet18_binary_demo
718,082b6173-1a69-4edc-b5c0-5f5f8b82dd2a,,,,damaged,0.7091516852378845,082b6173-1a69-4edc-b5c0-5f5f8b82dd2a_2864.jpg,2,ruins,0.5973127484321594,082b6173-1a69-4edc-b5c0-5f5f8b82dd2a_2865.jpg,2,1,52.0,v1_resnet18_binary_demo
